283 392 2
154 400 2
372 198 0
238 50 1
302 150 1
414 202 0
438 30 1
134 214 1
257 36 1
242 422 2
197 269 2
453 298 0
350 371 0
362 462 0
408 215 0
428 155 0
184 443 2
429 204 0
98 307 2
220 144 1
200 337 2
443 50 1
443 499 0
419 381 0
44 77 1
232 32 1
65 447 2
330 188 0
485 437 0
388 198 0
166 273 2
74 342 2
414 331 0
372 299 0
167 414 2
344 369 0
125 434 2
244 203 1
39 201 1
232 337 2
202 447 2
430 295 0
87 326 2
447 346 0
457 326 0
41 288 2
190 415 2
483 173 0
490 269 0
291 496 2
101 22 1
368 209 0
63 343 2
286 238 0
93 12 1
307 406 2
87 264 2
488 169 0
293 405 2
103 112 1
199 484 2
359 478 0
240 396 2
401 255 0
445 340 0
244 485 2
259 365 2
415 22 1
294 171 1
252 317 2
436 340 0
412 231 0
281 409 2
451 453 0
46 9 1
362 298 0
228 290 2
367 92 1
448 451 0
306 242 0
96 459 2
370 346 0
76 455 2
68 377 2
171 352 2
172 478 2
264 349 2
127 409 2
383 375 0
283 444 2
305 444 2
32 295 2
217 33 1
405 201 0
220 281 2
405 367 0
257 258 2
338 291 0
379 17 1
196 313 2
404.763158 302.631579 3
230.300000 83.850000 3
183.761905 377.785714 3
