283	392	0
154	400	0
372	198	0
238	50	0
302	150	0
414	202	0
438	30	0
134	214	0
257	36	0
242	422	0
197	269	0
453	298	0
350	371	0
362	462	0
408	215	0
428	155	0
184	443	0
429	204	0
98	307	0
220	144	0
200	337	0
443	50	0
443	499	0
419	381	0
44	77	0
232	32	0
65	447	0
330	188	0
485	437	0
388	198	0
166	273	0
74	342	0
414	331	0
372	299	0
167	414	0
344	369	0
125	434	0
244	203	0
39	201	0
232	337	0
202	447	0
430	295	0
87	326	0
447	346	0
457	326	0
41	288	0
190	415	0
483	173	0
490	269	0
291	496	0
101	22	0
368	209	0
63	343	0
286	238	0
93	12	0
307	406	0
87	264	0
488	169	0
293	405	0
103	112	0
199	484	0
359	478	0
240	396	0
401	255	0
445	340	0
244	485	0
259	365	0
415	22	0
294	171	0
252	317	0
436	340	0
412	231	0
281	409	0
451	453	0
46	9	0
362	298	0
228	290	0
367	92	0
448	451	0
306	242	0
96	459	0
370	346	0
76	455	0
68	377	0
171	352	0
172	478	0
264	349	0
127	409	0
383	375	0
283	444	0
305	444	0
32	295	0
217	33	0
405	201	0
220	281	0
405	367	0
257	258	0
338	291	0
379	17	0
196	313	0
