 104  818 0 
 633  302 0 
 465  561 0 
 7  646 0 
 18  650 0 
 99  1 0 
 850  377 0 
 871  352 0 
 403  740 0 
 407  358 0 
 114  552 0 
 990  672 0 
 183  577 0 
 543  122 0 
 43  508 0 
 754  53 0 
 117  541 0 
 474  946 0 
 882  367 0 
 104  605 0 
 904  703 0 
 858  962 0 
 769  183 0 
 385  88 0 
 144  459 0 
 118  248 0 
 116  437 0 
 954  332 0 
 407  297 0 
 119  208 0 
 854  760 0 
 450  106 0 
 383  6 0 
 356  776 0 
 84  250 0 
 141  965 0 
 913  552 0 
 208  675 0 
 38  375 0 
 5  776 0 
 21  563 0 
 929  201 0 
 99  643 0 
 718  367 0 
 223  249 0 
 178  211 0 
 635  771 0 
 471  859 0 
 589  756 0 
 119  561 0 
 901  857 0 
 310  360 0 
 941  900 0 
 997  366 0 
 914  202 0 
 451  408 0 
 179  493 0 
 506  705 0 
 86  58 0 
 801  167 0 
 293  184 0 
 543  763 0 
 987  412 0 
 19  679 0 
 34  199 0 
 251  582 0 
 551  853 0 
 995  476 0 
 420  851 0 
 953  770 0 
 571  696 0 
 938  32 0 
 299  624 0 
 159  759 0 
 789  120 0 
 757  950 0 
 123  94 0 
 615  169 0 
 197  108 0 
 19  64 0 
 315  912 0 
 656  789 0 
 937  453 0 
 147  827 0 
 390  446 0 
 451  295 0 
 875  136 0 
 643  55 0 
 132  37 0 
 81  341 0 
 840  288 0 
 400  594 0 
 752  300 0 
 977  475 0 
 9  66 0 
 970  333 0 
 337  406 0 
 45  647 0 
 724  121 0 
 447  587 0 
 195  893 0 
